time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-25T02:12:24.200Z,19.411,-155.2833333,0.82,5.2,mw,37,25,0.006666,0.11,hv,hv70316456,2018-12-04T01:16:09.070Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.14,0.11,,47,reviewed,hv,hv
2018-06-26T03:02:44.720Z,19.4115,-155.283,0.72,5.2,mw,38,24,0.006217,0.1,hv,hv70321551,2018-09-21T16:25:50.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.14,0.1,,47,reviewed,hv,hv
2018-06-27T08:40:40.310Z,19.4105,-155.28,0.53,5.3,mw,37,33,0.008106,0.1,hv,hv70327791,2018-09-21T16:25:51.040Z,"4km WSW of Volcano, Hawaii",volcanic eruption,0.13,0.1,,5,reviewed,hv,hv
2018-06-28T14:48:50.400Z,19.4126667,-155.2858333,0.23,5.3,mw,35,25,0.005232,0.15,hv,hv70333906,2018-09-21T16:25:52.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.13,0.1,,28,reviewed,hv,hv
2018-06-29T17:50:46.270Z,19.4136667,-155.2805,0.25,5.2,mw,35,46,0.005227,0.12,hv,hv70339416,2018-09-21T16:25:53.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.13,0.1,,17,reviewed,hv,hv
2018-07-01T00:51:13.010Z,19.412,-155.2815,0.3,5.3,mw,36,30,0.006143,0.1,hv,hv70345951,2018-09-21T16:25:54.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.12,0.11,,23,reviewed,hv,hv
2018-07-02T11:24:46.190Z,19.4031667,-155.2926667,-0.36,5.3,mw,21,67,0.007733,0.17,hv,hv70352881,2018-12-04T03:48:00.690Z,"6km WSW of Volcano, Hawaii",volcanic eruption,0.14,0.18,,80,reviewed,hv,hv
2018-07-03T12:17:03.810Z,19.416,-155.2746667,-0.12,5.3,mw,24,32,0.009053,0.13,hv,hv70357811,2018-09-27T14:03:36.040Z,"4km WSW of Volcano, Hawaii",volcanic eruption,0.12,0.22,,8,reviewed,hv,hv
2018-07-04T20:19:10.470Z,19.398,-155.2716667,0.41,5.3,mw,38,43,0.003215,0.1,hv,hv70364281,2018-09-27T14:03:36.040Z,"5km SW of Volcano, Hawaii",volcanic eruption,0.13,0.12,,8,reviewed,hv,hv
2018-07-05T23:20:04.690Z,19.4108333,-155.2828333,0.46,5.2,mw,30,50,0.006897,0.08,hv,hv70370031,2018-09-27T14:03:36.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.12,0.12,,8,reviewed,hv,hv
2018-07-07T04:04:37.630Z,19.4026667,-155.2895,0.23,5.3,mw,36,38,0.01067,0.14,hv,hv70375466,2018-09-27T14:03:36.040Z,"6km WSW of Volcano, Hawaii",volcanic eruption,0.16,0.16,,23,reviewed,hv,hv
2018-07-08T12:54:50.330Z,19.402,-155.2911667,-1.01,5.3,mw,34,42,0.009526,0.17,hv,hv70382556,2018-11-17T01:58:09.270Z,"6km WSW of Volcano, Hawaii",volcanic eruption,0.14,0.17,,20,reviewed,hv,hv
2018-07-09T19:20:46.280Z,19.4001667,-155.2896667,-0.47,5.3,mw,39,39,0.0109,0.14,hv,hv70388861,2018-10-02T16:40:31.040Z,"6km WSW of Volcano, Hawaii",volcanic eruption,0.11,0.16,,7,reviewed,hv,hv
2018-07-11T15:45:53.220Z,19.3993333,-155.2886667,-0.5,5.3,mw,33,38,0.01056,0.19,hv,hv70398031,2018-10-30T02:43:08.120Z,"6km WSW of Volcano, Hawaii",volcanic eruption,0.12,0.16,,6,reviewed,hv,hv
2018-07-13T00:42:27.110Z,19.3993333,-155.2766667,0.27,5.3,mw,36,39,0.004869,0.11,hv,hv70414347,2018-10-30T02:52:31.400Z,"5km SW of Volcano, Hawaii",volcanic eruption,0.11,0.09,,33,reviewed,hv,hv
2018-07-14T05:08:03.680Z,19.3995,-155.2768333,-0.21,5.3,mw,23,45,0.005095,0.15,hv,hv70419872,2018-12-04T08:35:35.530Z,"5km SW of Volcano, Hawaii",volcanic eruption,0.12,0.13,,17,reviewed,hv,hv
2018-07-15T13:26:05.130Z,19.4036667,-155.2901667,1.35,5.3,mw,20,46,0.009741,0.15,hv,hv70426597,2018-12-04T08:15:07.750Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.24,0.25,,16,reviewed,hv,hv
2018-07-16T21:42:35.500Z,19.3995,-155.2775,0.24,5.3,mw,31,39,0.005491,0.1,hv,hv70432927,2018-11-07T22:26:42.400Z,"5km SW of Volcano, Hawaii",volcanic eruption,0.12,0.12,,22,reviewed,hv,hv
2018-07-18T11:28:04.040Z,19.3961667,-155.2748333,0.37,5.3,mw,38,41,0.001376,0.13,hv,hv70440367,2018-11-07T21:56:20.950Z,"5km SW of Volcano, Hawaii",volcanic eruption,0.15,0.11,,79,reviewed,hv,hv
2018-07-20T02:33:01.690Z,19.4103333,-155.2816667,0.85,5.3,mw,33,27,0.007643,0.11,hv,hv70448162,2018-11-06T02:03:43.320Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.11,0.08,,47,reviewed,hv,hv
2018-07-21T19:43:28.660Z,19.4018333,-155.288,0.07,5.3,mw,37,34,0.01229,0.12,hv,hv70456682,2018-11-06T01:49:15.460Z,"6km WSW of Volcano, Hawaii",volcanic eruption,0.12,0.15,,21,reviewed,hv,hv
2018-07-23T06:53:38.820Z,19.4101667,-155.2833333,0.54,5.3,mw,35,26,0.007491,0.09,hv,hv70463607,2018-11-06T01:41:35.630Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.12,0.09,,27,reviewed,hv,hv
2018-07-24T16:41:10.140Z,19.4141667,-155.2821667,0.45,5.3,mw,36,35,0.003925,0.14,hv,hv70470502,2018-11-06T01:37:57.440Z,"4km WSW of Volcano, Hawaii",volcanic eruption,0.14,0.1,,14,reviewed,hv,hv
2018-07-26T22:09:11.280Z,19.3976667,-155.2693333,0.18,5.3,mw,38,49,0.003168,0.13,hv,hv70481092,2018-11-06T01:31:21.680Z,"4km SW of Volcano, Hawaii",volcanic eruption,0.16,0.1,,20,reviewed,hv,hv
2018-07-28T12:37:25.390Z,19.3968333,-155.2718333,0.21,5.3,mw,37,40,0.002246,0.1,hv,hv70488497,2018-11-06T01:26:01.490Z,"5km SW of Volcano, Hawaii",volcanic eruption,0.1,0.1,,21,reviewed,hv,hv
2018-07-29T22:10:25.570Z,19.4063333,-155.2823333,1.29,5.3,mw,39,24,0.01139,0.12,hv,hv70495012,2018-11-01T01:31:30.280Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.16,0.12,,22,reviewed,hv,hv
2018-07-31T17:59:46.000Z,19.4103333,-155.2856667,0.57,5.3,mw,36,23,0.007439,0.12,hv,hv70503837,2018-11-01T01:08:32.560Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.16,0.11,,9,reviewed,hv,hv
2018-08-02T21:55:12.060Z,19.4111667,-155.2831667,0.55,5.3,mw,34,27,0.006521,0.1,hv,hv70513677,2018-11-01T00:53:52.770Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.14,0.11,,22,reviewed,hv,hv
