time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-05T00:48:05.180Z,19.3959999,-155.2848358,-0.29,1.94,ml,20,43,0.009868,0.19,hv,hv70523052,2018-08-05T00:53:43.520Z,"6km SW of Volcano, Hawaii",earthquake,0.18,0.34,0.26,10,automatic,hv,hv
2018-08-05T00:37:50.710Z,19.3956667,-155.2753333,0.13,2.03,ml,20,48,0.001623,0.09,hv,hv70523022,2018-08-05T08:40:12.890Z,"5km SW of Volcano, Hawaii",earthquake,0.13,0.17,0.167,14,reviewed,hv,hv
2018-08-05T00:32:58.250Z,19.3965,-155.2711667,0.11,2.56,ml,24,47,0.002595,0.08,hv,hv70523007,2018-10-16T15:34:08.040Z,"5km SW of Volcano, Hawaii",earthquake,0.14,0.14,0.177,20,reviewed,hv,hv
2018-08-05T00:22:44.780Z,19.4125,-155.2796667,0.54,1.68,ml,14,55,0.006622,0.06,hv,hv70522967,2019-01-25T20:53:53.790Z,"4km WSW of Volcano, Hawaii",earthquake,0.18,0.4,0.127,7,reviewed,hv,hv
2018-08-05T00:18:51.770Z,19.3851667,-155.2708333,0.34,2.37,ml,20,68,0.01036,0.08,hv,hv70522957,2018-08-06T08:36:32.630Z,"6km SW of Volcano, Hawaii",earthquake,0.18,0.22,0.106,11,reviewed,hv,hv
2018-08-05T00:18:41.780Z,19.3648333,-155.2613333,0.44,1.78,ml,14,79,0.006993,0.07,hv,hv70522952,2018-08-06T08:26:54.770Z,"7km SSW of Volcano, Hawaii",earthquake,0.26,0.2,0.161,4,reviewed,hv,hv
2018-08-05T00:08:34.160Z,19.3911667,-155.2819977,0.29,1.82,ml,13,89,0.004618,0.08,hv,hv70522942,2018-08-05T00:14:15.010Z,"6km SW of Volcano, Hawaii",earthquake,0.16,0.17,0.21,7,automatic,hv,hv
2018-08-05T00:07:04.450Z,19.3881664,-155.2693329,2.89,1.76,ml,12,163,0.008239,0.12,hv,hv70522937,2018-08-05T00:12:44.630Z,"5km SW of Volcano, Hawaii",earthquake,0.59,0.76,0.26,4,automatic,hv,hv
2018-08-05T00:03:58.960Z,19.401,-155.273,1.61,2.38,ml,25,48,0.005635,0.07,hv,hv70522927,2018-08-05T07:03:51.950Z,"4km SW of Volcano, Hawaii",earthquake,0.17,0.17,0.136,24,reviewed,hv,hv
2018-08-04T23:58:00.300Z,19.4228325,-155.2553406,0.33,1.78,ml,10,143,0.005289,0.14,hv,hv70522912,2018-08-05T00:03:40.490Z,"2km WSW of Volcano, Hawaii",earthquake,0.5,0.25,0.36,5,automatic,hv,hv
