time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-31T16:51:41.260Z,19.4144993,-155.2618408,0.2,2.46,ml,32,47,0.003032,0.18,hv,hv70213582,2018-05-31T16:57:20.690Z,"3km SW of Volcano, Hawaii",earthquake,0.27,0.15,0.51,14,automatic,hv,hv
2018-05-31T16:46:09.490Z,19.4004993,-155.2971649,0.98,1.88,ml,15,86,0.02106,0.21,hv,hv70213562,2018-05-31T16:51:48.650Z,"7km WSW of Volcano, Hawaii",earthquake,0.45,0.5,0.22,8,automatic,hv,hv
2018-05-31T16:43:39.690Z,19.3991661,-155.2868347,0.59,2.2,ml,24,52,0.01301,0.38,hv,hv70213552,2018-05-31T16:49:20.920Z,"6km SW of Volcano, Hawaii",earthquake,0.41,0.37,0.19,11,automatic,hv,hv
2018-05-31T16:43:27.190Z,19.4281673,-155.2583313,0.08,2.2,ml,9,169,0.008891,0.13,hv,hv70213547,2018-05-31T16:49:08.030Z,"2km W of Volcano, Hawaii",earthquake,0.31,0.48,0.38,13,automatic,hv,hv
2018-05-31T16:39:47.750Z,19.420166,-155.2516632,-0.95,2.64,ml,40,49,0.009209,0.21,hv,hv70213542,2018-05-31T16:45:25.980Z,"1km SW of Volcano, Hawaii",earthquake,0.19,0.17,2.7,25,automatic,hv,hv
2018-05-31T16:26:55.320Z,19.4318333,-155.2575073,-0.45,2.06,ml,14,140,0.009331,0.18,hv,hv70213512,2018-05-31T16:32:34.540Z,"2km W of Volcano, Hawaii",earthquake,0.27,0.26,0.34,5,automatic,hv,hv
2018-05-31T15:48:15.230Z,19.3971672,-155.2904968,1.12,1.75,ml,19,57,0.01344,0.13,hv,hv70213412,2018-05-31T15:53:55.780Z,"6km SW of Volcano, Hawaii",earthquake,0.2,0.34,0.24,9,automatic,hv,hv
2018-05-31T15:36:05.080Z,19.4173336,-155.2745056,1.65,1.79,ml,18,44,0.007938,0.18,hv,hv70213382,2018-05-31T15:41:45.410Z,"4km WSW of Volcano, Hawaii",earthquake,0.37,0.33,0.23,7,automatic,hv,hv
2018-05-31T15:26:42.980Z,19.4134998,-155.2839966,0.85,1.84,md,16,69,0.004142,0.1,hv,hv70213362,2018-05-31T15:29:44.150Z,"5km WSW of Volcano, Hawaii",earthquake,0.23,0.23,0.17,11,automatic,hv,hv
2018-05-31T14:18:18.220Z,19.3908329,-155.2928314,0.86,1.92,md,13,90,0.01133,0.1,hv,hv70213167,2018-05-31T14:21:10.710Z,"7km SW of Volcano, Hawaii",earthquake,0.22,0.35,0.26,10,automatic,hv,hv
